Bedform type,Flow velocity (m/s),Mean flow depth (m),grain size (mm)
LR,0.58,0.12,0.5
LR,0.75,0.12,0.5
UP,1.05,0.12,0.5
A,1.35,0.12,0.5
SR,0.29,0.13,0.5
LR,0.41,0.13,0.5
LR,0.5,0.13,0.5
LR,1.1,0.13,0.5
A,1.49,0.13,0.5
A,1.64,0.13,0.5
A,1.83,0.13,0.5
LR,0.38,0.14,0.5
LR,0.44,0.14,0.5
LR,0.44,0.15,0.5
LR,0.59,0.15,0.5
A,1.37,0.15,0.5
A,1.51,0.15,0.5
A,1.72,0.15,0.5
A,1.95,0.15,0.5
A,2.14,0.16,0.5
LR,0.37,0.17,0.5
LR,0.45,0.17,0.5
A,1.79,0.17,0.5
SR,0.23,0.18,0.5
SR,0.29,0.18,0.5
LR,0.34,0.18,0.5
LR,0.36,0.18,0.5
LR,0.38,0.18,0.5
LR,0.4,0.18,0.5
LR,0.44,0.18,0.5
LR,0.47,0.18,0.5
LR,0.48,0.18,0.5
LR,0.48,0.18,0.5
LR,0.5,0.18,0.5
LR,0.51,0.18,0.5
LR,0.53,0.18,0.5
SR,0.21,0.19,0.5
SR,0.25,0.19,0.5
SR,0.27,0.19,0.5
SR,0.29,0.19,0.5
SR,0.31,0.19,0.5
LR,0.32,0.19,0.5
LR,0.46,0.19,0.5
LR,0.76,0.19,0.5
A,1.55,0.19,0.5
A,1.64,0.19,0.5
A,1.67,0.19,0.5
A,1.79,0.19,0.5
SR,0.4,0.2,0.5
LR,0.42,0.2,0.5
A,1.5,0.2,0.5
SR,0.29,0.21,0.5
LR,0.5,0.21,0.5
LR,0.53,0.21,0.5
A,2.07,0.21,0.5
LR,0.74,0.22,0.5
LR,0.78,0.22,0.5
LR,0.82,0.22,0.5
LR,0.98,0.22,0.5
UP,1.18,0.22,0.5
A,1.64,0.22,0.5
LR,0.6,0.23,0.5
LR,0.91,0.23,0.5
LR,0.45,0.24,0.5
LR,0.69,0.24,0.5
LR,0.79,0.24,0.5
A,1.62,0.24,0.5
LR,0.53,0.25,0.5
A,1.46,0.25,0.5
LR,0.51,0.26,0.5
LR,0.77,0.27,0.5
A,1.74,0.27,0.5
LR,0.55,0.28,0.5
LR,0.6,0.28,0.5
LR,1.06,0.28,0.5
UP,1.37,0.28,0.5
SR,0.33,0.29,0.5
LR,0.65,0.3,0.5
UP,1.37,0.3,0.5
LR,0.36,0.31,0.5
LR,0.87,0.31,0.5
LR,1.22,0.31,0.5
LR,0.35,0.32,0.5
LR,0.47,0.32,0.5
LR,0.38,0.34,0.5
LR,0.54,0.34,0.5
LR,0.75,0.35,0.5
LR,0.97,0.37,0.5
UP,1.45,0.37,0.5
LR,0.38,0.38,0.5
LR,0.52,0.38,0.5
LR,1.07,0.38,0.5
SR,0.25,0.39,0.5
SR,0.29,0.39,0.5
LR,0.51,0.39,0.5
LR,0.53,0.39,0.5
LR,0.66,0.39,0.5
LR,0.75,0.39,0.5
LR,0.84,0.39,0.5
SR,0.32,0.4,0.5
LR,0.38,0.4,0.5
LR,0.93,0.4,0.5
UP,1.4,0.4,0.5
LR,0.77,0.43,0.5
LR,0.76,0.48,0.5
SR,0.23,0.53,0.5
SR,0.26,0.53,0.5
SR,0.27,0.53,0.5
SR,0.29,0.53,0.5
LR,0.33,0.54,0.5
SR,0.25,0.56,0.5
LR,0.4,0.58,0.5
