Bedform type,Flow velocity (m/s),Mean flow depth (m),grain size (mm)
SR-LR,0.28,0.02,0.5
SR-LR,0.33,0.02,0.5
SR-LR,0.38,0.02,0.5
SR-LR,0.39,0.02,0.5
SR-LR,0.3,0.03,0.5
SR-LR,0.3,0.03,0.5
SR-LR,0.36,0.03,0.5
SR-LR,0.39,0.03,0.5
SR-LR,0.39,0.03,0.5
SR-LR,0.4,0.03,0.5
SR,0.21,0.04,0.5
SR-LR,0.24,0.04,0.5
SR-LR,0.25,0.04,0.5
SR-LR,0.33,0.04,0.5
SR-LR,0.35,0.04,0.5
SR-LR,0.35,0.04,0.5
SR-LR,0.35,0.04,0.5
SR-LR,0.4,0.04,0.5
SR,0.17,0.05,0.5
SR-LR,0.24,0.05,0.5
SR,0.24,0.05,0.5
SR-LR,0.25,0.05,0.5
SR-LR,0.31,0.05,0.5
SR-LR,0.36,0.05,0.5
SR-LR,0.37,0.05,0.5
SR-LR,0.38,0.05,0.5
SR-LR,0.42,0.05,0.5
SR,0.2,0.06,0.5
SR,0.21,0.06,0.5
SR,0.26,0.06,0.5
SR,0.3,0.06,0.5
SR-LR,0.3,0.06,0.5
LR,0.33,0.06,0.5
SR-LR,0.35,0.06,0.5
SR-LR,0.38,0.06,0.5
SR-LR,0.47,0.06,0.5
SR-LR,0.48,0.06,0.5
SR,0.21,0.07,0.5
SR,0.22,0.07,0.5
SR,0.23,0.07,0.5
SR,0.23,0.07,0.5
SR,0.28,0.07,0.5
SR-LR,0.32,0.07,0.5
SR,0.33,0.07,0.5
SR-LR,0.37,0.07,0.5
SR-LR,0.38,0.07,0.5
LR,0.41,0.07,0.5
LR,0.63,0.07,0.5
SR,0.14,0.08,0.5
SR,0.16,0.08,0.5
SR,0.16,0.08,0.5
SR,0.18,0.08,0.5
SR,0.19,0.08,0.5
SR,0.22,0.08,0.5
SR,0.24,0.08,0.5
SR,0.24,0.08,0.5
SR,0.25,0.08,0.5
SR,0.25,0.08,0.5
SR,0.29,0.08,0.5
SR-LR,0.35,0.08,0.5
LR,0.35,0.08,0.5
LR,0.39,0.08,0.5
SR-LR,0.41,0.08,0.5
LR,0.43,0.08,0.5
LR,0.44,0.08,0.5
LR,0.87,0.08,0.5
SR,0.2,0.09,0.5
SR,0.24,0.09,0.5
SR,0.25,0.09,0.5
SR,0.27,0.09,0.5
SR,0.28,0.09,0.5
LR,0.31,0.09,0.5
LR,0.35,0.09,0.5
LR,0.36,0.09,0.5
LR,0.4,0.09,0.5
LR,0.43,0.09,0.5
LR,0.76,0.09,0.5
A,1.48,0.09,0.5
LR,0.4,0.1,0.5
LR,0.55,0.1,0.5
LR,0.57,0.1,0.5
A,0.73,0.1,0.5
A,1.18,0.1,0.5
A,1.59,0.1,0.5
LR,0.42,0.11,0.5
LR,0.55,0.11,0.5
LR,0.59,0.11,0.5
LR,0.64,0.11,0.5
LR,0.94,0.11,0.5
UP,1.76,0.11,0.5
A,1.79,0.11,0.5
A,2.06,0.11,0.5
SR,0.3,0.12,0.5
