Bedform type,Flow velocity (m/s),Mean flow depth (m),grain size (mm)
UP,0.61,0.07,0.1
SR,0.38,0.08,0.1
SR,0.27,0.09,0.1
SR,0.33,0.09,0.1
UP,0.63,0.09,0.1
SR,0.42,0.1,0.1
UP,0.68,0.1,0.1
A,1.09,0.13,0.1
SR,0.38,0.14,0.1
A,0.9,0.14,0.1
UP,0.71,0.15,0.1
A,0.96,0.16,0.1
SR,0.52,0.17,0.1
UP,0.8,0.17,0.1
A,1.16,0.17,0.1
SR,0.48,0.18,0.1
SR,0.48,0.18,0.1
UP,0.6,0.18,0.1
UP,1.09,0.18,0.1
A,1.16,0.18,0.1
SR,0.44,0.19,0.1
SR,0.51,0.19,0.1
SR,0.55,0.19,0.1
SR,0.57,0.19,0.1
SR,0.58,0.19,0.1
UP,0.6,0.19,0.1
UP,0.62,0.19,0.1
UP,0.9,0.19,0.1
A,0.98,0.19,0.1
A,1.22,0.19,0.1
SR,0.39,0.2,0.1
SR,0.5,0.2,0.1
SR,0.41,0.21,0.1
A,1.34,0.21,0.1
UP,0.83,0.22,0.1
A,1.08,0.22,0.1
A,1.39,0.22,0.1
UP,0.9,0.23,0.1
UP,0.97,0.23,0.1
A,1.13,0.23,0.1
A,1.23,0.23,0.1
SR,0.47,0.25,0.1
SR,0.81,0.25,0.1
A,1.36,0.25,0.1
SR,0.43,0.26,0.1
SR,0.9,0.26,0.1
UP,0.92,0.26,0.1
UP,1.05,0.26,0.1
A,1.31,0.26,0.1
SR,0.47,0.27,0.1
SR,0.56,0.27,0.1
SR,0.69,0.27,0.1
UP,1.05,0.27,0.1
UP,1.41,0.27,0.1
SR,0.39,0.28,0.1
SR,0.5,0.28,0.1
SR,0.52,0.28,0.1
SR,0.59,0.28,0.1
SR,0.8,0.28,0.1
UP,1.29,0.28,0.1
UP,1.33,0.28,0.1
A,1.56,0.28,0.1
A,1.94,0.28,0.1
SR,0.75,0.29,0.1
UP,0.92,0.29,0.1
UP,1,0.29,0.1
A,1.51,0.29,0.1
SR,0.79,0.3,0.1
SR,0.81,0.3,0.1
SR,0.87,0.3,0.1
UP,1.09,0.3,0.1
UP,1.12,0.3,0.1
UP,1.19,0.3,0.1
UP,1.19,0.3,0.1
UP,1.61,0.3,0.1
SR,0.34,0.31,0.1
UP,0.93,0.31,0.1
A,1.67,0.31,0.1
UP,1.75,0.31,0.1
SR,0.44,0.32,0.1
SR,0.54,0.32,0.1
UP,1.5,0.32,0.1
SR,0.59,0.33,0.1
SR,0.84,0.33,0.1
UP,1.11,0.34,0.1
UP,1.2,0.34,0.1
UP,1.3,0.34,0.1
UP,1.4,0.34,0.1
SR,0.39,0.35,0.1
SR,0.39,0.35,0.1
SR,0.48,0.35,0.1
SR,0.57,0.35,0.1
SR,0.73,0.35,0.1
UP,0.85,0.35,0.1
UP,0.91,0.35,0.1
UP,1.23,0.35,0.1
UP,0.95,0.36,0.1
UP,1.01,0.36,0.1
UP,1.12,0.36,0.1
UP,1.37,0.36,0.1
UP,1.51,0.36,0.1
SR,0.64,0.37,0.1
SR,0.69,0.37,0.1
UP,1.22,0.37,0.1
SR,0.4,0.38,0.1
SR,0.47,0.38,0.1
UP,1.31,0.38,0.1
UP,0.97,0.39,0.1
UP,1.05,0.39,0.1
SR,0.38,0.4,0.1
SR,0.47,0.4,0.1
SR,0.51,0.4,0.1
SR,0.59,0.4,0.1
UP,0.89,0.4,0.1
UP,1.25,0.4,0.1
SR,0.4,0.41,0.1
SR,0.44,0.41,0.1
SR,0.53,0.41,0.1
SR,0.76,0.41,0.1
UP,1.01,0.41,0.1
UP,1.12,0.41,0.1
UP,1.04,0.42,0.1
SR,0.56,0.46,0.1
SR,0.59,0.48,0.1
SR,0.64,0.48,0.1
SR,0.51,0.49,0.1
SR,0.54,0.5,0.1
SR,0.43,0.51,0.1
